short_name longitude latitude num bio3 prec7 tmax10 pop1 pop2
I7-0018 34.10406 0.72644 87 83 89 288 0.034952952 0.009832721
I7-0020 34.10406 0.72644 88 83 89 288 0.029915563 0.017827009
J4-0916 34.68632 2.04746 89 83 121 288 0.037796009 0.00178026
J5-0918 34.59608 1.93608 90 83 127 296 0.036812514 0.010852349
J5-0919 34.59608 1.93608 91 83 127 296 0.034110653 0.00880839
J5-0920 34.59608 1.93608 92 83 127 296 0.037924964 0.011269452
J5-0923 34.62992 1.86651 93 83 133 294 0.03604166 0.015813347
J5-0924 34.62992 1.86651 94 83 133 294 0.043946711 0.011651332
B10-0225 30.09057 -1.28401 95 87 14 240 -0.042723351 0.004865727
B10-0226 30.09057 -1.28401 96 87 14 240 -0.046005706 0.009938653
B10-0228 30.09057 -1.28401 97 87 14 240 -0.045969602 0.00811247
B10-0229 29.97195 -1.42515 98 89 12 232 -0.05085929 0.004691682
B10-0231 29.97195 -1.42515 99 89 12 232 -0.044453429 0.007795883
B10-0232 29.97195 -1.42515 100 89 12 232 -0.046073148 0.012118482
B10-0233 29.98299 -1.41958 101 89 11 236 -0.046488166 -0.005491972
B10-0234 29.98299 -1.41958 102 89 11 236 -0.043244427 0.012214095
B10-0236 29.98299 -1.41958 103 89 11 236 -0.043287118 0.010291145
B10-0237 29.94839 -1.39844 104 88 17 210 -0.039779691 0.010694973
B10-0238 29.94839 -1.39844 105 88 17 210 -0.039803486 0.010761905
B10-0239 29.94839 -1.39844 106 88 17 210 -0.045850506 0.012340288
B10-0240 29.94839 -1.39844 107 88 17 210 -0.040561977 0.01287737
B10-0241 29.94839 -1.39844 108 88 17 210 -0.040360058 0.010602385
B7-0089 30.10559 0.19685 109 85 47 291 -0.030755928 -0.004094938
B7-0090 30.10559 0.19685 110 85 47 291 -0.048312839 0.015977203
B7-0091 30.10559 0.19685 111 85 47 291 -0.025046906 -0.009882358
B8-0092 29.90616 0.00544 112 88 38 282 -0.034346068 0.015377816
B8-0093 29.90616 0.00544 113 88 38 282 -0.039756447 0.014330987
B8-0094 29.90616 0.00544 114 88 38 282 -0.050687419 0.009728357
B8-0095 29.90616 0.00544 115 88 38 282 -0.045619824 0.018833613
B8-0096 29.91862 0.00937 116 88 39 280 -0.044686254 0.011112491
B8-0097 29.91862 0.00937 117 88 39 280 -0.045785353 0.011900456
B8-0098 29.91862 0.00937 118 88 39 280 -0.0495992 0.016660962
B8-0099 29.91862 0.00937 119 88 39 280 -0.038595513 -0.055520861
B8-0100 29.83887 0.10449 120 86 58 216 -0.048765833 0.010972012
B8-0101 29.83887 0.10449 121 86 58 216 -0.051915099 0.016584469
B8-0102 29.83887 0.10449 122 86 58 216 -0.046266106 0.015040169
B8-0103 29.83887 0.10449 123 86 58 216 -0.037675857 0.015401977
B8-0104 29.8374 0.10335 124 86 58 216 -0.041547008 0.019658505
B8-0105 29.8374 0.10335 125 86 58 216 -0.028801879 0.012179627
B8-0107 29.8374 0.10335 126 86 58 216 -0.039984232 0.015233248
B8-0108 30.04338 0.09478 127 86 41 288 -0.052992497 0.010093775
B8-0109 30.04338 0.09478 128 86 41 288 -0.044130899 0.01899021
B8-0110 30.04338 0.09478 129 86 41 288 -0.044628348 0.014478039
B8-0111 30.04338 0.09478 130 86 41 288 -0.038049425 0.017066444
B8-0112 30.05218 0.05945 131 85 39 292 -0.036657212 0.015510777
B8-0113 30.05218 0.05945 132 85 39 292 -0.049020878 0.011829753
B9-0242 30.00819 -0.91676 133 90 27 262 -0.053011193 -0.003754386
B9-0243 30.00819 -0.91676 134 90 27 262 -0.051482716 -0.015259072
B9-0244 30.00819 -0.91676 135 90 27 262 -0.054009472 0.015836035
B9-0246 30.00819 -0.91676 136 90 27 262 -0.049397374 -0.004249473
B9-0247 30.00819 -0.91676 137 90 27 262 -0.045433721 0.011137966
B9-0248 30.00819 -0.91676 138 90 27 262 -0.047084416 0.0173866
B9-0249 30.00819 -0.91676 139 90 27 262 -0.04953574 0.010363537
B9-0250 30.030402 -0.97812 140 89 27 244 -0.052360242 -0.032070352
B9-0251 30.030402 -0.97812 141 89 27 244 -0.050023711 -0.016315405
B9-0253 30.030402 -0.97812 142 89 27 244 -0.053733393 0.007174929
B9-0254 30.01802 -0.87998 143 90 30 256 -0.046369416 0.00512984
B9-0255 30.01802 -0.87998 144 90 30 256 -0.047255514 -0.000642378
B9-0256 30.01802 -0.87998 145 90 30 256 -0.044502396 0.011377548
C10-0209 30.22658 -1.22172 146 89 14 254 -0.053103119 -0.008170061
C10-0210 30.22658 -1.22172 147 89 14 254 -0.049582539 0.014653873
C10-0211 30.22658 -1.22172 148 89 14 254 -0.045427507 0.012116535
C10-0213 30.23534 -1.32242 149 88 12 262 -0.048475743 0.010594047
C10-0214 30.23534 -1.32242 150 88 12 262 -0.054851369 -0.03391101
C10-0216 30.23534 -1.32242 151 88 12 262 -0.041962847 0.010724734
C10-0217 30.25736 -1.20433 152 87 14 259 -0.032050953 -0.029123453
C10-0218 30.25736 -1.20433 153 87 14 259 -0.034367403 0.009113149
C10-0219 30.25736 -1.20433 154 87 14 259 -0.053176535 0.011458145
C10-0220 30.25736 -1.20433 155 87 14 259 -0.053761401 -0.01412849
C10-0221 30.21516 -1.21719 156 89 14 255 -0.049042325 0.018600041
C10-0222 30.21516 -1.21719 157 89 14 255 -0.029546112 0.015597749
C10-0223 30.21516 -1.21719 158 89 14 255 -0.041028926 0.005584926
C6-0728 30.23459 0.86187 159 85 95 286 0.006523107 -0.176846433
C6-0729 30.23459 0.86187 160 85 95 286 0.005531958 -0.220889063
C6-0733 30.23459 0.86187 161 85 95 286 -0.000950242 -0.17021572
C6-0734 30.23459 0.86187 162 85 95 286 -0.001000324 -0.234098738
C6-0735 30.23459 0.86187 163 85 95 286 -0.008771312 -0.161727186
C7-0076 30.17234 0.28124 164 85 52 286 -0.036766426 0.009614802
C7-0077 30.17234 0.28124 165 85 52 286 -0.034076685 -0.013206461
C7-0078 30.17234 0.28124 166 85 52 286 -0.033910509 0.002919903
C7-0079 30.17234 0.28124 167 85 52 286 -0.041679478 0.013290399
C7-0080 30.1998 0.31706 168 85 54 284 -0.04778201 0.010651129
C7-0081 30.1998 0.31706 169 85 54 284 -0.028627245 0.018840898
C7-0082 30.1998 0.31706 170 85 54 284 -0.038784417 0.014223931
C7-0084 30.11941 0.25197 171 85 50 281 -0.021574702 0.013588945
C7-0085 30.11941 0.25197 172 85 50 281 -0.02994774 0.016564072
C7-0086 30.11941 0.25197 173 85 50 281 -0.026157213 0.002603835
C7-0087 30.11941 0.25197 174 85 50 281 -0.010118173 0.007463704
C7-0117 30.11026 0.27011 175 86 50 277 -0.020182166 0.005647375
C7-0118 30.11026 0.27011 176 86 50 277 -0.026975817 0.017760055
C7-0119 30.11026 0.27011 177 86 50 277 -0.041532279 0.012420295
C7-0120 30.11026 0.27011 178 86 50 277 -0.038490327 0.007962358
C7-0122 30.54278 0.66433 179 83 63 259 -0.045603549 0.023072397
C7-0123 30.54278 0.66433 180 83 63 259 -0.02262477 0.009008874
C7-0124 30.54278 0.66433 181 83 63 259 -0.047504386 -0.032540251
C7-0125 30.58295 0.66747 182 85 64 262 -0.036926446 -0.012559999
C7-0126 30.58295 0.66747 183 85 64 262 -0.044596136 -0.032937737
C7-0127 30.58295 0.66747 184 85 64 262 -0.030858755 -0.004303198
C7-0128 30.58295 0.66747 185 85 64 262 -0.037800385 -0.014460613
C7-0129 30.58452 0.65922 186 84 64 262 -0.04230956 -0.026839986
C7-0130 30.58452 0.65922 187 84 64 262 -0.033692729 0.008938394
C7-0131 30.58452 0.65922 188 84 64 262 -0.029669941 0.007055946
C7-0132 30.58452 0.65922 189 84 64 262 -0.045789676 -0.030773755
C8-0133 30.71066 -0.37943 190 85 26 261 -0.036201397 0.018614868
C8-0134 30.71066 -0.37943 191 85 26 261 -0.054218857 0.019960063
C8-0135 30.71066 -0.37943 192 85 26 261 -0.037168844 0.017669654
C8-0136 30.71066 -0.37943 193 85 26 261 -0.04835084 0.016808542
C8-0138 30.71875 -0.37473 194 85 25 261 -0.058425 0.016782238
C8-0139 30.71875 -0.37473 195 85 25 261 -0.047890599 0.009912577
C8-0140 30.71875 -0.37473 196 85 25 261 -0.04191234 0.021253094
C8-0157 30.48351 -0.1463 197 87 38 261 -0.033292846 0.002542673
C8-0158 30.48351 -0.1463 198 87 38 261 -0.03339557 -0.002878086
C8-0159 30.48351 -0.1463 199 87 38 261 -0.028254381 0.008597977
C8-0160 30.48351 -0.1463 200 87 38 261 -0.042632208 -0.003927947
C8-0161 30.52737 -0.14333 201 87 36 263 -0.044919038 0.003263881
C8-0162 30.52737 -0.14333 202 87 36 263 -0.048345708 -0.028332807
C8-0163 30.52737 -0.14333 203 87 36 263 -0.044618137 0.013911675
C8-0164 30.52737 -0.14333 204 87 36 263 -0.047176631 -0.00835174
C8-0166 30.52045 -0.16311 205 86 36 262 -0.048095286 -0.018563909
C8-0167 30.52045 -0.16311 206 86 36 262 -0.05316622 -0.016599734
C8-0168 30.52045 -0.16311 207 86 36 262 -0.046832564 -0.007051372
C9-0142 30.65423 -0.53971 208 85 29 258 -0.04429961 0.007150671
C9-0143 30.65423 -0.53971 209 85 29 258 -0.044840905 0.012334693
C9-0144 30.65423 -0.53971 210 85 29 258 -0.048841735 0.020181289
C9-0145 30.62749 -0.5269 211 86 28 262 -0.051891011 0.018163708
C9-0146 30.62749 -0.5269 212 86 28 262 -0.046533914 0.007318637
C9-0148 30.62749 -0.5269 213 86 28 262 -0.053608878 0.011507425
C9-0149 30.60934 -0.58392 214 85 29 261 -0.050176536 0.025343335
C9-0150 30.60934 -0.58392 215 85 29 261 -0.052115773 0.013003123
C9-0151 30.60934 -0.58392 216 85 29 261 -0.050499333 0.019318172
C9-0153 30.6126 -0.60527 217 85 30 260 -0.052753701 0.018174094
C9-0154 30.6126 -0.60527 218 85 30 260 -0.055772139 0.019522916
C9-0155 30.6126 -0.60527 219 85 30 260 -0.048929559 0.017722143
C9-0156 30.6126 -0.60527 220 85 30 260 -0.049257995 0.014744691
D2-0359 31.12822 3.53858 221 75 70 288 0.028281313 -0.001483366
D2-0360 31.12822 3.53858 222 75 70 288 0.03243812 0.003700212
D2-0361 31.12822 3.53858 223 75 70 288 0.02955804 -0.000157293
D2-0362 31.13442 3.56848 224 76 75 290 0.027818601 -0.008414311
D2-0363 31.13442 3.56848 225 76 75 290 0.022409978 -0.004397862
D2-0364 31.13442 3.56848 226 76 75 290 0.025664972 0.003151392
D2-0365 31.13442 3.56848 227 76 75 290 0.030649 -0.00236649
D2-0366 31.24368 3.56239 228 74 72 294 0.028481575 0.000836406
D2-0367 31.24368 3.56239 229 74 72 294 0.030024447 0.010082212
D2-0368 31.24368 3.56239 230 74 72 294 0.032053627 -0.001906119
D2-0369 31.24368 3.56239 231 74 72 294 0.030712986 0.000756011
D2-0370 31.2012 3.58022 232 75 71 291 0.030108074 0.00208345
D2-0372 31.2012 3.58022 233 75 71 291 0.033482019 0.003488673
D2-0373 31.2012 3.58022 234 75 71 291 0.029850334 0.007149505
D3-0374 30.96025 3.01263 235 76 143 279 0.032817056 -0.002766523
D3-0375 30.96025 3.01263 236 76 143 279 0.036032857 0.006089864
D3-0376 30.96025 3.01263 237 76 143 279 0.033837994 0.00240681
D3-0377 30.96025 3.01263 238 76 143 279 0.033295184 0.001217897
D3-0378 30.96025 3.01263 239 76 143 279 0.031716162 -0.001413873
D3-0379 30.96025 3.01263 240 76 143 279 0.033963581 0.003562786
D3-0380 30.96025 3.01263 241 76 143 279 0.030203092 0.003363078
D3-0383 31.0507 3.0253 242 73 114 280 0.027487302 -0.00119806
D3-0384 31.0507 3.0253 243 73 114 280 0.028569434 0.003735689
D3-0385 31.0507 3.0253 244 73 114 280 0.027468514 0.008216282
D3-0387 31.10044 3.02994 245 72 107 279 0.035879025 0.002050324
