Marker;Loglikelihood;AverageProb;Beta_0;NumError;
M58-E43/T33_17b;-67.4209362596346546137;0.009819967266775777413668;-4.6134689888027864621;0;
M59-E43/T33_18;-137.1406381195209829293;0.9762684124386252046044;3.716930592111442086022;0;
M60-E43/T33_19;-416.2421548687115374354;0.1072013093289689034397;-2.119652662631919274412;0;
M61-E43/T33_23;-360.4129392536215631959;0.08674304418985270049333;-2.354067048829189103985;0;
M62-E43/T33_24;-390.1733548350574307118;0.09738134206219312602438;-2.226665526141973085184;0;
M63-E45/T32_4a;-8.107834862772238970763;0.9991816693944353518979;7.107425474110704679762;0;
M64-E45/T32_5;-97.96381783024159517481;0.9844517184942716857342;4.148134736808238417095;0;
M65-E45/T32_6;-708.7911824008582588608;0.266775777414075286419;-1.011043031608222827599;0;
M66-E45/T32_7;-500.1371862933397307582;0.1423895253682487725092;-1.795583565666458444464;0;
M67-E45/T32_8;-118.0873299704691570255;0.9803600654664484451693;3.910354948327449038561;0;
M68-E45/T32_9;-326.4003994352144786828;0.07528641571194762683981;-2.508184334657345943009;0;
M69-E45/T32_9a;-125.825259088733973023;0.9787234042553191489108;3.828641396489095000306;0;
M70-E45/T32_9b;-26.88124531479512846835;0.003273322422258592471434;-5.71867108714995171434;0;
M71-E45/T32_10;-507.2662485458937702831;0.1456628477905073649719;-1.769031218150498881072;0;
M72-E45/T32_10a;-8.107834862772238656778;0.0008183306055646481178586;-7.107425474110704679762;0;
M73-E45/T32_11;-106.1566712416905369498;0.01718494271685761047519;-4.046387384356560544367;0;
M74-E45/T32_13;-97.96381783024159517481;0.9844517184942716857342;4.148134736808238417095;0;
M75-E45/T32_15b;-21.02521004826833471782;0.002454991816693944353417;-6.007173840813161833779;0;
M76-E45/T32_16;-514.2900898831308165171;0.1489361702127659574483;-1.742969305058622997732;0;
M77-E45/T32_18;-695.1615440933349326924;0.2609413707679603633372;-1.041081504687943257723;0;
M78-E45/T32_21;-205.6089616739952312952;0.04009819967266775777375;-3.175499550542848852279;0;
M79-E45/T32_22;-71.99343671165833313808;0.9893617021276595744554;4.532599493153255937241;0;
M80-E45/T32_23;-839.6640872387216674166;0.4451718494271685760998;-0.2201980410844529420852;0;
M81-E45/T32_24;-21.02521004826833471782;0.002454991816693944353417;-6.007173840813161833779;0;
M82-E45/T32_25;-839.6640872387216674166;0.4451718494271685760998;-0.2201980410844529420852;0;
M83-E45/T32_26;-464.7725754904885846486;0.8731587561374795417295;1.929181134382506745723;0;
M84-E45/T32_26a;-26.88124531479512846835;0.003273322422258592471434;-5.71867108714995171434;0;
M85-E45/T32_27;-129.6344934529205729229;0.02209492635024549918118;-3.790064598361281967328;0;
M86-E45/T32_28;-424.6529673620000123746;0.1104746317512274959093;-2.08590210868277999446;0;
M87-E45/T32_29;-494.7201337983121864905;0.1399345335515548281486;-1.815833814374291282803;0;
M88-E45/T32_30;-470.5270507583904641136;0.8707037643207855973689;1.907195636874622889762;0;
M89-E45/T32_31;-805.0588854675300601316;0.6162117452440033085271;0.4734996661533042507672;0;
M90-E45/T32_33a;-76.48811091565864152958;0.01145662847790507365013;-4.457664048879501642476;0;
M91-E45/T32_33b;-102.0856709364890608782;0.983633387888707037632;4.09600984154116189509;0;
M92-E45/T32_34;-658.9231823193178563258;0.7700490998363338789089;1.208588470251633869667;0;
M93-E45/T32_34b1;-76.48811091565864152958;0.01145662847790507365013;-4.457664048879501642476;0;
M94-E45/T32_34c;-378.9221666585603065791;0.09328968903436988543238;-2.27411341891273365793;0;
M95-E45/T32_34d;-602.5140357187143065887;0.1947626841243862520488;-1.419355223380778728798;0;
M96-E45/T32_35;-820.011131457028933589;0.6047463175122749590791;0.4252812672956290868977;0;
M97-E45/T32_35b;-62.76417930836585944154;0.009001636661211129296286;-4.701306470754721708247;0;
M98-E45/T32_35c;-360.4129392536215631959;0.08674304418985270049333;-2.354067048829189103985;0;
M99-E45/T32_36a;-21.02521004826833471782;0.002454991816693944353417;-6.007173840813161833779;0;
M100-E45/T32_37;-125.825259088733973023;0.9787234042553191489108;3.828641396489095000306;0;
M101-E45/T32_38;-276.4730772998898222781;0.9402618657937806874057;2.756187836700364552321;0;
M102-E45/T32_39;-846.9211053336848435968;0.4934533551554828150474;-0.02618807595741065974297;0;
