Marker Env_1 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC Beta_0 Beta_1 
M1 P1 -98.75922899586611101996 13.25683604632715570371 10.15509569646448314283 0 0.01419806745431287196965 0.0628955879617152319519 0.04391803170563084466943 0.013368553217995731092 0.05678732874338230299843 201.5184579917322220399 225.0890245564205780215 -2.241129606300535702683 -0.5755679977566223498218 
M1 P2 -102.6742039606654751729 5.426886116728427397748 4.907464447430738579796 0 0.003670486903558259610819 0.0257472591438942684499 0.00676970288780988116743 0.005494379432519090123484 0.02315439246312968419599 209.3484079213309503459 232.9189744860193063275 -4.021885948746413491899 -0.4510791680446174531187 
M1 P3 -105.3760043045932446176 0.02328542887288850837813 0.02332161382983496096676 0 2.51186664645405366772e-06 0.0001104751340955733109918 -0.01886708112198881397148 2.363974988928607863514e-05 9.907752028251324153482e-05 214.7520086091864892353 238.3225751738748452169 -3.742886572745916246973 -0.003730057729963163657599 
M1 P4 -102.5403701935661726768 5.694553650927032389939 5.418976720063318586445 0 0.003976275497571398777601 0.02701717806593962288575 0.008039621809855235603278 0.005764593342996766228183 0.02429972927606106700911 209.0807403871323453537 232.6513069518207013353 -9.405675044058283186706 0.1257189114939702589724 
M1 P5 -105.3875444877352955259 0.0002050625887866919239144 0.0002049717345182907759595 0 2.465213710704729395407e-07 9.728967036794254966137e-07 -0.01897658335938070780276 2.081853476560281517027e-07 8.725136598537404040146e-07 214.7750889754705910517 238.3456555401589470333 -3.773662689863078263143 -8.905161435674338355054e-06 
M1 P6 -105.3558516340906743777 0.06359076987802898817126 0.06400260685026236887318 0 6.163523937495371226095e-05 0.0003016993531820029027408 -0.01867585690290238437973 6.455707333903121713722e-05 0.0002705788556779751274463 214.7117032681813487555 238.2822698328697047371 -4.148836951764089090496 0.04956735089363574699617 
M1 P7 -100.3621481518919885539 10.05099773427540063575 8.256063088421354765646 0 0.007690447449985568712568 0.04768584373299703281024 0.02870828747691264552777 0.01015217383578568129078 0.04298457096480960333516 204.7242963037839771079 228.2948628684723330895 -0.228995760831098970714 -0.08092520812267536453702 
M1 P8 -103.0169061622110934923 4.741481713637190759103 4.68229887578599327522 0 0.003782769951512725769248 0.02249543398943629771364 0.00351787773335191043117 0.004802119795337190513371 0.02022299768009261719576 210.0338123244221869845 233.6043788891105429661 -5.243879695135547009885 0.01796926888830661736635 
M1 P9 -104.1125228066851304137 2.550248424689116916175 2.520150998650028472715 0 0.002899182239201995164857 0.01209937073663207605457 -0.006878185519452311227906 0.002585735906059562585514 0.01086502114305739031591 212.2250456133702608275 235.7956121780586168091 -2.466766835788406602532 -0.4175715293769109367225 
M2 P1 -134.1205320671599869053 0.3224657567710272620953 0.3191604040531758532378 0 0.0001549383530939155693452 0.001200705683686072047876 -0.01369334937145152107651 0.0003273228210059654771577 0.001044617620236998037781 272.2410641343199738107 295.8116306990083297923 -3.247530108918483920857 -0.06620477946320830017106 
M2 P2 -131.8452762570381094492 4.872977377014782174314 4.856038145928296752719 0 0.005221908720966665911224 0.01814459833392453625171 0.003250543278786943235739 0.004934967989016852637531 0.01582237812128614326497 267.6905525140762188985 291.2611190787645748801 -3.454978851186317283109 0.3360816660087764063205 
M2 P3 -129.2581367276518772153 10.04725643578724664229 9.785975305250944346856 0 0.01475505778371006708255 0.03741109762692518909879 0.02251704257178759608282 0.0101484141167921363704 0.03270897850511808144884 262.5162734553037544305 286.0868400199921104121 -2.96991403052030209864 -0.06647624064626059060053 
M2 P4 -133.240136807590146939 2.083256275910707194798 2.074035465523656180005 0 0.002045472129159438300691 0.007757033416843746190337 -0.007137021638293846825633 0.002112745994412567446773 0.006754678695086721873519 270.480273615180293878 294.0508401798686498596 -0.7349805423690335525605 -0.06312293650602647409378 
M2 P5 -134.2588044949059409294 0.04592090127911921393355 0.04565909613203424359285 0 3.62066752975204295302e-05 0.0001709871079581849750983 -0.01472306794717940809508 4.661911763944443214819e-05 0.0001487384255912391175424 272.5176089898118818589 296.0881755545002378405 -3.392016791959596370759 -0.0001151952046414755297083 
M2 P6 -134.0038749741531359932 0.5557799427847290862914 0.5626334991877524425844 0 0.0005300757408245225727264 0.002069454266594244107227 -0.01282460078854334890874 0.0005640844412530984200611 0.001800644806714061892407 272.0077499483062719865 295.5783165129946279681 -4.398098071053173268273 0.1249530664186580101541 
M2 P7 -132.849016364429804743 2.865497162231391586884 2.885969345941751115162 0 0.003016004350853166695798 0.01066971812365372134163 -0.004224336931483871674341 0.002904906744411622798209 0.009294681226985140876265 269.6980327288596094859 293.2685992935479654675 -4.998511952541422275875 0.0316801973841703957935 
M2 P8 -131.6027328467686579039 5.35806419755368526503 4.976462416193064175907 0 0.00630929723560217384443 0.01995082578683155427775 0.005056770731693961207567 0.005424890928381237854405 0.01740172529530703486619 267.2054656935373158078 290.7760322582256717894 -2.222388404743672831246 -0.01757294897497845221776 
