Marker Env_1 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC Beta_0 Beta_1  
M80 P1 -65.71829218255690507194 6.911081578807767758499 6.403309174523887673577 0 0.003206974417672351317359 0.04995445012862836800874 0.02104178309728591846333 0.006991769524100693020737 0.04669199436674292916113 135.4365843651138101439 159.0071509298021661255 -6.119658759046973272016 0.4651549101354720700268 
M80 P2 -65.84212621491996517836 6.663413514081647545662 6.289993815808912484139 0 0.008201880681852644538934 0.0481642640561975470849 0.01925159702485509753949 0.006742056480063764200596 0.04501305697107337412346 135.6842524298399303567 159.2548189945282863383 -4.422513936963111270528 0.598682137192395538044 
M80 P3 -67.80196714150540179822 2.74373166091077430595 2.647057269839604464953 0 0.001419245217853632237692 0.01983214998381635139034 -0.009080517047526098263488 0.002781638431057354159028 0.01849773614063409821167 139.6039342830108035964 163.1745008476991595781 -4.954535779427898912076 0.05421005042507036728405 
M80 P4 -63.78331016640388460848 10.78104561111380868543 9.690351276828326014361 0 0.006219866014699690630763 0.07792719550096235703882 0.0490145284696199074392 0.01088554294597389541241 0.07298132009331603398832 131.566620332807769217 155.1371868974961251986 5.117269273893456574612 -0.2257084360318632763534 
M80 P5 -69.0449405568627094798 0.2577848301961589427833 0.2522598586618848279847 0 0.0002455572936286944726175 0.00186331174029817403558 -0.02704935529104427556404 0.0002616762443064883083763 0.001735745812336944848557 142.0898811137254189596 165.6604476784137749412 -4.073473310264772522492 -0.0004174595999410381354218 
M80 P6 -67.09751121010872955408 4.152643523704118794226 4.035796561360847409857 0 0.002343158892676259759218 0.03001599987517945334389 0.001103332843837003798479 0.004207007395944477963143 0.02801640316658973504064 138.1950224202174591082 161.7655889849058150898 -8.256818682125745867233 0.5093873602297150798325 
M80 P7 -66.30226640344291974549 5.743133137035738411402 5.531621027860095625266 0 0.001983975028259973697776 0.04151232402694588315617 0.01259965699560343355655 0.005813627103503612775139 0.03877819003444257374872 136.604532806885839491 160.1750993715741954726 -7.727021298086593856496 0.0678079652176202000508 
M80 P8 -65.51484937946435063716 7.317967184992876628069 6.155991368697323891379 0 0.01111376480532741151683 0.05289548714149736421183 0.02398282011015491461221 0.007401878474705104896201 0.04945118126719497615886 135.0296987589287012743 158.6002653236170572559 -2.122667468265115274561 -0.03318873996754670338663 
M80 P9 -68.98633492017717040029 0.3749961035672371018057 0.3700344383263014732567 0 0.0004462991853196076859692 0.002710534370122583743695 -0.02620213266121986580171 0.0003806342445274673680182 0.002525116184433363377235 141.9726698403543408006 165.5432364050426967822 -5.016045012352361399163 0.2096196529359329718671 
M81 P1 -60.37083138787353140536 0.01945483604550643508269 0.01950362762712816992427 0 1.563035365277528872599e-05 0.0001611018217639170876584 -0.03296214247329709394734 1.975090753252798769085e-05 0.0001514295060115208789978 124.7416627757470628107 148.3122293404354187923 -4.571044142314823517746 0.02628775314791828423622 
M81 P2 -60.02789106205571610653 0.7053354876811370327561 0.6796985091286159815015 0 0.0007472283496446392595317 0.005840749917109574541104 -0.02728249437795143643969 0.0007158203155501746814057 0.005491991798679926222342 124.0557821241114322131 147.6263486887997881947 -4.570501279343029239158 -0.2189090403255882336423 
M81 P3 -58.7908309215915755308 3.179455768609418184201 3.050945308319431637087 0 0.003570080657938680098254 0.02632847253724768319793 -0.006794771757813327837071 0.003222669892652632692587 0.0247874894066013900219 121.5816618431831510616 145.1522284078715070432 -5.258244476630179818199 0.06374654962868783878214 
M81 P4 -59.2993484764450921598 2.162420658902384926203 2.08293289569315764713 0 0.004432080054165245068792 0.01790659693837762348216 -0.01521664735668338749863 0.002192942902378783483208 0.01684983393247661581405 122.5986969528901843196 146.1692635175785403012 -9.311066429076345008636 0.1081521890319495090389 
